Date,,Open,High,Low,Close
27/12/2013,12:00:00 AM,0.0244,0.0271,0.0235,0.0271
28/12/2013,12:00:00 AM,0.0276,0.0281,0.0266,0.0273
29/12/2013,12:00:00 AM,0.0273,0.0275,0.0266,0.0272
30/12/2013,12:00:00 AM,0.0271,0.0278,0.027,0.0275
31/12/2013,12:00:00 AM,0.0277,0.0277,0.027,0.0273
01/01/2014,12:00:00 AM,0.0274,0.0278,0.0268,0.0269
02/01/2014,12:00:00 AM,0.027,0.0294,0.0264,0.0287
03/01/2014,12:00:00 AM,0.0288,0.029,0.0273,0.0276
04/01/2014,12:00:00 AM,0.0278,0.0284,0.0268,0.0281
05/01/2014,12:00:00 AM,0.0281,0.0297,0.0249,0.0252
06/01/2014,12:00:00 AM,0.0253,0.0274,0.0243,0.0257
07/01/2014,12:00:00 AM,0.0258,0.0264,0.023,0.023
08/01/2014,12:00:00 AM,0.0228,0.0247,0.0223,0.0232
09/01/2014,12:00:00 AM,0.023,0.0234,0.0212,0.0224
10/01/2014,12:00:00 AM,0.0224,0.0229,0.0217,0.0228
11/01/2014,12:00:00 AM,0.0227,0.0242,0.0226,0.024
12/01/2014,12:00:00 AM,0.0242,0.0244,0.022,0.022
13/01/2014,12:00:00 AM,0.022,0.022,0.0207,0.0217
14/01/2014,12:00:00 AM,0.0217,0.022,0.021,0.0212
15/01/2014,12:00:00 AM,0.0212,0.0224,0.0211,0.0222
16/01/2014,12:00:00 AM,0.0222,0.0223,0.021,0.021
17/01/2014,12:00:00 AM,0.021,0.0212,0.0201,0.0205
18/01/2014,12:00:00 AM,0.0206,0.0214,0.0206,0.0213
19/01/2014,12:00:00 AM,0.0213,0.0214,0.0203,0.0209
20/01/2014,12:00:00 AM,0.0209,0.021,0.0196,0.0199
21/01/2014,12:00:00 AM,0.0199,0.0202,0.0196,0.0199
22/01/2014,12:00:00 AM,0.02,0.02,0.0192,0.0194
23/01/2014,12:00:00 AM,0.0194,0.0195,0.0185,0.0185
24/01/2014,12:00:00 AM,0.0185,0.0185,0.0177,0.0181
25/01/2014,12:00:00 AM,0.0181,0.0194,0.018,0.0191
26/01/2014,12:00:00 AM,0.0191,0.0203,0.019,0.0201
27/01/2014,12:00:00 AM,0.0201,0.0205,0.0186,0.019
28/01/2014,12:00:00 AM,0.0194,0.0211,0.0194,0.0206
29/01/2014,12:00:00 AM,0.0205,0.0207,0.02,0.0203
30/01/2014,12:00:00 AM,0.0203,0.0206,0.0199,0.0203
31/01/2014,12:00:00 AM,0.0203,0.0206,0.0201,0.0205
01/02/2014,12:00:00 AM,0.0205,0.0211,0.0204,0.0207
02/02/2014,12:00:00 AM,0.0207,0.0219,0.0207,0.0216
03/02/2014,12:00:00 AM,0.0215,0.0217,0.0212,0.0214
04/02/2014,12:00:00 AM,0.0214,0.0216,0.021,0.021
05/02/2014,12:00:00 AM,0.0211,0.0211,0.0204,0.0204
06/02/2014,12:00:00 AM,0.0205,0.0207,0.0194,0.0198
07/02/2014,12:00:00 AM,0.0198,0.0198,0.0166,0.0184
08/02/2014,12:00:00 AM,0.0181,0.0186,0.0172,0.0175
09/02/2014,12:00:00 AM,0.0174,0.0183,0.017,0.0174
10/02/2014,12:00:00 AM,0.0174,0.0183,0.0135,0.0167
11/02/2014,12:00:00 AM,0.0182,0.0185,0.0158,0.0177
12/02/2014,12:00:00 AM,0.0177,0.0178,0.0155,0.0172
13/02/2014,12:00:00 AM,0.0172,0.0172,0.0145,0.0161
14/02/2014,12:00:00 AM,0.0161,0.0171,0.014,0.0164
15/02/2014,12:00:00 AM,0.0165,0.0165,0.0157,0.0161
16/02/2014,12:00:00 AM,0.0161,0.0165,0.0147,0.0153
17/02/2014,12:00:00 AM,0.0153,0.016,0.0151,0.0153
18/02/2014,12:00:00 AM,0.0153,0.0157,0.015,0.0153
19/02/2014,12:00:00 AM,0.0152,0.0156,0.0151,0.0152
20/02/2014,12:00:00 AM,0.0152,0.0155,0.0142,0.0143
21/02/2014,12:00:00 AM,0.0143,0.0152,0.0137,0.0151
22/02/2014,12:00:00 AM,0.0151,0.0157,0.0146,0.0157
23/02/2014,12:00:00 AM,0.0156,0.0161,0.0154,0.0154
24/02/2014,12:00:00 AM,0.0154,0.0155,0.0136,0.0136
25/02/2014,12:00:00 AM,0.0136,0.0137,0.0108,0.013
26/02/2014,12:00:00 AM,0.013,0.0142,0.013,0.0141
27/02/2014,12:00:00 AM,0.0141,0.0143,0.0137,0.0142
28/02/2014,12:00:00 AM,0.0141,0.0143,0.0136,0.0137
01/03/2014,12:00:00 AM,0.0137,0.014,0.0135,0.0138
02/03/2014,12:00:00 AM,0.0138,0.0138,0.0133,0.0135
03/03/2014,12:00:00 AM,0.0136,0.0157,0.0134,0.0156
04/03/2014,12:00:00 AM,0.0153,0.0182,0.0151,0.0161
05/03/2014,12:00:00 AM,0.016,0.0162,0.0154,0.016
06/03/2014,12:00:00 AM,0.016,0.0161,0.0156,0.0159
07/03/2014,12:00:00 AM,0.0159,0.016,0.0148,0.015
08/03/2014,12:00:00 AM,0.015,0.0151,0.0143,0.0144
09/03/2014,12:00:00 AM,0.0145,0.0155,0.0142,0.0147
10/03/2014,12:00:00 AM,0.0147,0.015,0.014,0.0147
11/03/2014,12:00:00 AM,0.0148,0.0149,0.014,0.0143
12/03/2014,12:00:00 AM,0.0142,0.0152,0.0142,0.0144
13/03/2014,12:00:00 AM,0.0144,0.0145,0.0142,0.0143
14/03/2014,12:00:00 AM,0.0143,0.0144,0.0141,0.0142
15/03/2014,12:00:00 AM,0.0142,0.0144,0.0142,0.0144
16/03/2014,12:00:00 AM,0.0144,0.0145,0.0142,0.0143
17/03/2014,12:00:00 AM,0.0143,0.0144,0.0139,0.0141
18/03/2014,12:00:00 AM,0.0141,0.0141,0.0137,0.0141
19/03/2014,12:00:00 AM,0.0141,0.0142,0.0139,0.014
20/03/2014,12:00:00 AM,0.0139,0.0141,0.0136,0.0136
21/03/2014,12:00:00 AM,0.0137,0.0139,0.013,0.0133
22/03/2014,12:00:00 AM,0.0132,0.0134,0.0129,0.013
23/03/2014,12:00:00 AM,0.013,0.0131,0.0127,0.0127
24/03/2014,12:00:00 AM,0.0127,0.0129,0.0123,0.0129
25/03/2014,12:00:00 AM,0.0129,0.0129,0.0126,0.0128
26/03/2014,12:00:00 AM,0.0128,0.0128,0.0125,0.0126
27/03/2014,12:00:00 AM,0.0126,0.0126,0.0102,0.0102
28/03/2014,12:00:00 AM,0.0103,0.0112,0.0102,0.0106
29/03/2014,12:00:00 AM,0.0106,0.0106,0.0103,0.0103
30/03/2014,12:00:00 AM,0.0104,0.0104,0.0093,0.0097
31/03/2014,12:00:00 AM,0.0097,0.0099,0.0087,0.0088
01/04/2014,12:00:00 AM,0.0088,0.0093,0.0086,0.0088
02/04/2014,12:00:00 AM,0.0088,0.009,0.0077,0.0079
03/04/2014,12:00:00 AM,0.0079,0.008,0.0072,0.0079
04/04/2014,12:00:00 AM,0.008,0.0083,0.0077,0.0081
05/04/2014,12:00:00 AM,0.0081,0.0084,0.0079,0.0083
06/04/2014,12:00:00 AM,0.0084,0.0084,0.0081,0.0083
07/04/2014,12:00:00 AM,0.0083,0.0083,0.008,0.008
08/04/2014,12:00:00 AM,0.008,0.0082,0.008,0.008
09/04/2014,12:00:00 AM,0.008,0.0082,0.0078,0.0079
10/04/2014,12:00:00 AM,0.0079,0.0079,0.0062,0.0063
11/04/2014,12:00:00 AM,0.0063,0.0072,0.0061,0.0066
12/04/2014,12:00:00 AM,0.0066,0.0068,0.0062,0.0063
13/04/2014,12:00:00 AM,0.0063,0.0063,0.0058,0.006
14/04/2014,12:00:00 AM,0.006,0.0066,0.0059,0.0065
15/04/2014,12:00:00 AM,0.0065,0.0077,0.0064,0.0077
16/04/2014,12:00:00 AM,0.0078,0.0079,0.0068,0.007
17/04/2014,12:00:00 AM,0.0071,0.0072,0.0062,0.0063
18/04/2014,12:00:00 AM,0.0063,0.0064,0.0061,0.0062
19/04/2014,12:00:00 AM,0.0062,0.0066,0.0062,0.0065
20/04/2014,12:00:00 AM,0.0065,0.0066,0.0062,0.0062
21/04/2014,12:00:00 AM,0.0062,0.0064,0.0061,0.0061
22/04/2014,12:00:00 AM,0.0061,0.0062,0.0061,0.0061
23/04/2014,12:00:00 AM,0.0061,0.0062,0.006,0.0061
24/04/2014,12:00:00 AM,0.0061,0.0061,0.0059,0.0061
25/04/2014,12:00:00 AM,0.0061,0.0061,0.0052,0.0055
26/04/2014,12:00:00 AM,0.0055,0.0056,0.0054,0.0054
27/04/2014,12:00:00 AM,0.0054,0.0054,0.0049,0.0049
28/04/2014,12:00:00 AM,0.0048,0.0052,0.0047,0.0051
29/04/2014,12:00:00 AM,0.0051,0.0054,0.0051,0.0054
30/04/2014,12:00:00 AM,0.0054,0.0054,0.0052,0.0054
01/05/2014,12:00:00 AM,0.0054,0.0055,0.0053,0.0054
02/05/2014,12:00:00 AM,0.0054,0.0055,0.0052,0.0053
03/05/2014,12:00:00 AM,0.0053,0.0053,0.005,0.005
04/05/2014,12:00:00 AM,0.005,0.0051,0.0049,0.005
05/05/2014,12:00:00 AM,0.005,0.0052,0.005,0.0052
06/05/2014,12:00:00 AM,0.0052,0.0063,0.0051,0.006
07/05/2014,12:00:00 AM,0.006,0.0066,0.006,0.0064
08/05/2014,12:00:00 AM,0.0063,0.0064,0.006,0.0061
09/05/2014,12:00:00 AM,0.0061,0.0061,0.006,0.0061
10/05/2014,12:00:00 AM,0.0061,0.0061,0.0059,0.006
11/05/2014,12:00:00 AM,0.0059,0.006,0.0057,0.0058
12/05/2014,12:00:00 AM,0.0058,0.006,0.0058,0.0059
13/05/2014,12:00:00 AM,0.0059,0.0065,0.0059,0.0063
14/05/2014,12:00:00 AM,0.0063,0.0077,0.0063,0.0072
